"Out Of Stock Notification","Notificação de Fora de Estoque"
"Availability:","Disponibilidade:"
"In stock","Em estoque"
"Out of stock","Fora de estoque"
"Product ID","Produto ID"
"Product Name","Produto Nome"
"Price","Preço"
"Qty","Qtde"
"Please specify a valid Email Address","Especifique um endereço de email válido"
"This Mail Id Already Notified","Este ID de email já foi notificado"
"Product","Produto"
"select","selecionar"
"Please select product to notify","Selecione o produto para notificar"
"Error","Erro"
"No options of this product are available.","Nenhuma opção deste produto estão disponível."
"Please select item(s)","Selecione item(s)"
"Total of %d record(s) were successfully updated","Total de %d registro(s) foram atualizados com sucesso"
"Email","Email"
"Notify Me","Me avise"
"Customer Email Id","Email do Cliente"
"Mail Status","Email Status"
"Notify Added","Notificação Adicionada"
"Notify Updated","Notificação Atualizada"
"Subscribe","Assinar"
"Notified Customers Grid View","Clientes Notificados"
"Powered by Out of Stock Notification","Notificação Fora de Estoque"
"Out of stock Notification","Notificação Fora de Estoque"
"Manage Notified Details","Detalhes das Notificações"
"Message for Notification","Mensagem para Notificação"
"Response Message After Notification","Mensagem de resposta após notificação"
"Enable Out of stock Notification","Ativar notificação de falta de estoque"
"Delete User's Mail ID in Database","Excluir identificação de email do usuário no banco de dados"
"Enable Out of stock Notification to Merchant","Ativar notificação de falta de estoque para comerciante"
"X left Threshold","Limite esquerdo X"
"Notify Email Template","Modelo de email de Notificação"
"Enter message that displays regarding the Out of stock Notification to user","Digite a mensagem exibida sobre a Notificação de falta de estoque para o usuário"
"Enter response message that should display when the customer enters their email id and submit Notification request for the Out of stock product","Digite a mensagem de resposta que deve ser exibida quando o cliente digitar sua identificação de email e enviar a solicitação de notificação para o produto Fora de estoque"
"Show / Hide the Out of stock notification in front end","Mostrar / Ocultar a notificação de falta de estoque no front-end"
"Select Yes to delete the user's email id from Database once the notification  mail is sent","Selecione Sim para excluir o ID de email do usuário do banco de dados assim que o email de notificação for enviado"
"Stock level Reached","Nível de estoque atingido"
"Select the email template to be sent to users","Selecione o modelo de email a ser enviado aos usuários"
"Notify Email Template","Modelo de email de Notificação"
"Activation","Ativação"
"License key","Chave de Licença"
"Email Options","Opções de Email" 
"Email Sender","Remetente do email"
"Stock Notification","Notificação de estoque"
"Threshold level","Nível limite"
"Sets the threshold level to trigger Out of Stock Notification","Define o nível limite para acionar a notificação de falta de estoque"
"My Out of Stock Subscriptions","Minhas inscrições Fora de Estoque"
"Image","Imagem"
"Product Name","Nome do Produto"
"Subscribed On","Inscrição Ativa"
"No More Subscriptions are found","Não foram encontradas mais inscrições"
"Out of stock Notification from","Notificação Fora de Estoque de"
